V\-(GS) - Plot 0	I\-(DS) - Plot 0	V\-(GS) - Plot 1	I\-(DS) - Plot 1	
-26.9984	1.35213E-7	-26.9984	-7.63327E-9	
-25.9972	1.20623E-7	-25.9972	-6.43506E-9	
-24.997	1.08634E-7	-24.997	-5.46397E-9	
-23.9998	9.0747E-8	-23.9998	-6.09881E-9	
-22.9998	7.98805E-8	-22.9998	-4.57755E-9	
-21.9988	6.81488E-8	-21.9988	-3.8919E-9	
-20.998	5.76576E-8	-20.998	-3.05971E-9	
-19.9995	4.82058E-8	-19.9995	-2.46873E-9	
-18.9996	3.99652E-8	-18.9996	-1.78744E-9	
-17.9995	3.23229E-8	-17.9995	-1.24424E-9	
-16.9996	2.59614E-8	-16.9996	-8.91924E-10	
-15.9995	2.03158E-8	-15.9995	-7.2422E-10	
-14.9997	1.54574E-8	-14.9997	-6.13368E-10	
-13.9996	1.17615E-8	-13.9996	-5.45538E-10	
-12.9998	8.81938E-9	-12.9998	-5.14328E-10	
-11.9996	6.55602E-9	-11.9996	-4.75276E-10	
-10.9997	4.53335E-9	-10.9997	-4.15564E-10	
-9.99959	3.6384E-9	-9.99959	-4.29535E-10	
-8.99942	3.11135E-9	-8.99942	-3.11542E-10	
-7.9997	2.10488E-9	-7.9997	-3.80731E-10	
-6.99945	1.83243E-9	-6.99945	-3.42143E-10	
-5.99961	2.13847E-9	-5.99961	-3.10493E-10	
-4.99952	2.37197E-9	-4.99952	-2.70104E-10	
-3.99965	3.71373E-9	-3.99965	-2.28691E-10	
-2.99954	5.15639E-9	-2.99954	-1.47438E-10	
-1.99999	7.19678E-9	-1.99999	-8.47697E-11	
-0.999961	1.14458E-8	-0.999961	7.66635E-11	
7.61032E-5	1.7702E-8	7.61032E-5	2.85351E-10	
8.02755E-5	1.75097E-8	8.02755E-5	-1.15645E-10	
1.00006	2.80292E-8	1.00006	6.25145E-10	
2.00005	4.53464E-8	2.00005	1.46773E-9	
3.0003	7.17274E-8	3.0003	2.9581E-9	
4.00039	1.13704E-7	4.00039	5.59958E-9	
5.00025	1.65874E-7	5.00025	6.87984E-9	
6.00027	2.33951E-7	6.00027	9.77942E-9	
7.00041	3.14876E-7	7.00041	1.31825E-8	
8.00029	4.07242E-7	8.00029	1.61758E-8	
9.0004	5.03874E-7	9.0004	1.83889E-8	
10.0002	6.06561E-7	10.0002	2.15255E-8	
11.0004	7.05464E-7	11.0004	2.58459E-8	
12.0006	7.99309E-7	12.0006	3.08529E-8	
13.0003	8.88931E-7	13.0003	3.60923E-8	
14.0005	9.71295E-7	14.0005	4.23587E-8	
15.0003	1.04507E-6	15.0003	4.89685E-8	
16.0004	1.11527E-6	16.0004	5.59076E-8	
17.0006	1.17895E-6	17.0006	6.31115E-8	
18.0004	1.23862E-6	18.0004	7.06899E-8	
19.0005	1.2956E-6	19.0005	7.89426E-8	
20.0003	1.35195E-6	20.0003	8.77102E-8	
21.0035	1.40994E-6	21.0035	9.73477E-8	
22.0045	1.46696E-6	22.0045	1.06098E-7	
23.0052	1.52688E-6	23.0052	1.17862E-7	
24.0023	1.59146E-6	24.0023	1.28472E-7	
25.0026	1.66124E-6	25.0026	1.39814E-7	
26.0033	1.73517E-6	26.0033	1.52432E-7	
27.0031	1.81374E-6	27.0031	1.66045E-7	
28.0039	1.89907E-6	28.0039	1.80118E-7	
29.0047	1.9868E-6	29.0047	1.94798E-7	
30.0019	2.07929E-6	30.0019	2.11155E-7	
31.0024	2.17613E-6	31.0024	2.28733E-7	
32.003	2.27777E-6	32.003	2.4697E-7	
33.0035	2.38116E-6	33.0035	2.66812E-7	
34.0041	2.48969E-6	34.0041	2.872E-7	
35.005	2.60158E-6	35.005	3.05847E-7	
36.0021	2.71407E-6	36.0021	3.28521E-7	
37.0028	2.82854E-6	37.0028	3.53481E-7	
38.0034	2.94325E-6	38.0034	3.78772E-7	
39.0033	3.05919E-6	39.0033	4.06609E-7	
40.0037	3.17653E-6	40.0037	4.3225E-7	
41.0044	3.2934E-6	41.0044	4.6122E-7	
42.0017	3.41122E-6	42.0017	4.88457E-7	
43.0011	3.5283E-6	43.0011	5.1788E-7	
44.0026	3.64112E-6	44.0026	5.5681E-7	
45.0028	3.75467E-6	45.0028	5.9379E-7	
46.004	3.86798E-6	46.004	6.31787E-7	
47.004	3.97746E-6	47.004	6.70146E-7	
48.0013	4.09239E-6	48.0013	7.03293E-7	
49.0021	4.20079E-6	49.0021	7.4717E-7	
50.0022	4.30811E-6	50.0022	7.88117E-7	
50.0025	4.30264E-6	50.0025	7.85963E-7	
49.0014	4.18479E-6	49.0014	7.44489E-7	
48.0015	4.06788E-6	48.0015	7.03443E-7	
47.004	3.94887E-6	47.004	6.62152E-7	
46.0037	3.83501E-6	46.0037	6.22068E-7	
45.0031	3.71662E-6	45.0031	5.83823E-7	
44.0027	3.59734E-6	44.0027	5.46775E-7	
43.0027	3.47919E-6	43.0027	5.12983E-7	
42.0022	3.36234E-6	42.0022	4.75962E-7	
41.0044	3.24192E-6	41.0044	4.45395E-7	
40.0041	3.1221E-6	40.0041	4.14093E-7	
39.0036	3.00112E-6	39.0036	3.8742E-7	
38.0029	2.88196E-6	38.0029	3.5982E-7	
37.0022	2.76443E-6	37.0022	3.34077E-7	
36.0019	2.64829E-6	36.0019	3.09154E-7	
35.0045	2.53346E-6	35.0045	2.8629E-7	
34.0042	2.4209E-6	34.0042	2.6337E-7	
33.0034	2.31181E-6	33.0034	2.43725E-7	
32.0034	2.20595E-6	32.0034	2.24201E-7	
31.0032	2.10379E-6	31.0032	2.06125E-7	
30.0015	2.00685E-6	30.0015	1.88859E-7	
29.0045	1.91414E-6	29.0045	1.72852E-7	
28.0037	1.8256E-6	28.0037	1.57849E-7	
27.0033	1.74212E-6	27.0033	1.44055E-7	
26.0031	1.66374E-6	26.0031	1.3077E-7	
25.0024	1.59118E-6	25.0024	1.17991E-7	
24.0023	1.52385E-6	24.0023	1.06302E-7	
23.0048	1.45995E-6	23.0048	9.8869E-8	
22.0042	1.39622E-6	22.0042	8.74973E-8	
21.0037	1.33721E-6	21.0037	7.5256E-8	
20.0002	1.27827E-6	20.0002	6.61424E-8	
19.0004	1.21998E-6	19.0004	5.75768E-8	
18.0003	1.15795E-6	18.0003	4.95504E-8	
17.0005	1.09192E-6	17.0005	4.22682E-8	
16.0003	1.02064E-6	16.0003	3.55503E-8	
15.0002	9.44899E-7	15.0002	2.91728E-8	
14.0005	8.58419E-7	14.0005	2.35529E-8	
13.0003	7.66651E-7	13.0003	1.83812E-8	
12.0005	6.69687E-7	12.0005	1.39299E-8	
11.0003	5.70242E-7	11.0003	1.02256E-8	
10.0002	4.71886E-7	10.0002	7.11546E-9	
9.00032	3.77253E-7	9.00032	4.47545E-9	
8.00026	2.9056E-7	8.00026	1.6891E-9	
7.00039	2.1484E-7	7.00039	4.54068E-10	
6.00017	1.52215E-7	6.00017	7.35879E-11	
5.00015	1.03615E-7	5.00015	-2.48575E-10	
4.00031	7.06261E-8	4.00031	-4.47702E-10	
3.0002	4.52863E-8	3.0002	-5.90038E-10	
2.00003	2.95302E-8	2.00003	-5.61905E-10	
1.00005	1.93538E-8	1.00005	-5.19419E-10	
7.33852E-5	1.28037E-8	7.33852E-5	-5.60939E-10	
7.43866E-5	1.32301E-8	7.43866E-5	-2.04408E-10	
-0.999967	8.25202E-9	-0.999967	-5.48029E-10	
-1.99999	5.6881E-9	-1.99999	-5.61941E-10	
-2.9995	3.50567E-9	-2.9995	-6.72817E-10	
-3.99968	3.09559E-9	-3.99968	-7.75981E-10	
-4.9995	2.6009E-9	-4.9995	-9.21476E-10	
-5.99957	1.89006E-9	-5.99957	-1.18701E-9	
-6.99946	2.12274E-9	-6.99946	-1.58339E-9	
-7.99969	2.7055E-9	-7.99969	-1.93241E-9	
-8.99949	3.73199E-9	-8.99949	-2.32898E-9	
-9.99966	2.72762E-9	-9.99966	-2.88801E-9	
-10.9998	6.53719E-9	-10.9998	-3.28563E-9	
-11.9996	9.51505E-9	-11.9996	-3.84164E-9	
-12.9998	1.2232E-8	-12.9998	-4.46147E-9	
-13.9997	1.60307E-8	-13.9997	-5.1568E-9	
-14.9998	2.09843E-8	-14.9998	-5.88799E-9	
-15.9996	2.68491E-8	-15.9996	-6.62596E-9	
-16.9997	3.29021E-8	-16.9997	-7.15156E-9	
-17.9996	4.05813E-8	-17.9996	-7.75548E-9	
-18.9997	4.85752E-8	-18.9997	-8.27931E-9	
-19.9995	5.73673E-8	-19.9995	-8.55768E-9	
-20.9981	6.6927E-8	-20.9981	-9.21974E-9	
-21.9989	7.85858E-8	-21.9989	-9.72574E-9	
-23	8.99444E-8	-23	-1.05559E-8	
-24.0004	1.06645E-7	-24.0004	-1.02398E-8	
-24.9974	1.16064E-7	-24.9974	-1.31955E-8	
-25.9978	1.30476E-7	-25.9978	-1.43047E-8	
-26.9981	1.45314E-7	-26.9981	-1.55599E-8	
-27.9989	1.60565E-7	-27.9989	-1.69448E-8	
-28.9999	1.7775E-7	-28.9999	-1.84016E-8	
-30.0001	1.94797E-7	-30.0001	-2.00817E-8	
-30.9976	2.12299E-7	-30.9976	-2.17644E-8	
-31.9978	2.3007E-7	-31.9978	-2.37259E-8	
-32.9976	2.49322E-7	-32.9976	-2.57114E-8	
-33.999	2.69122E-7	-33.999	-2.79577E-8	
-34.9994	2.89096E-7	-34.9994	-3.03152E-8	
-36.0004	3.1022E-7	-36.0004	-3.26752E-8	
-36.9978	3.30609E-7	-36.9978	-3.55077E-8	
-37.9979	3.52645E-7	-37.9979	-3.84408E-8	
-38.998	3.73992E-7	-38.998	-4.16253E-8	
-39.9988	3.9718E-7	-39.9988	-4.49465E-8	
-40.9994	4.20839E-7	-40.9994	-4.84799E-8	
-42.0001	4.4377E-7	-42.0001	-5.21694E-8	
-42.9972	4.68094E-7	-42.9972	-5.60602E-8	
-43.9983	4.91804E-7	-43.9983	-6.02665E-8	
-44.9987	5.16912E-7	-44.9987	-6.46954E-8	
-45.9988	5.42492E-7	-45.9988	-6.93138E-8	
-46.9993	5.6794E-7	-46.9993	-7.43007E-8	
-47.9999	5.93507E-7	-47.9999	-7.95205E-8	
-48.9974	6.18388E-7	-48.9974	-8.51356E-8	
-49.9978	6.46058E-7	-49.9978	-9.09398E-8	
-49.9977	6.44667E-7	-49.9977	-9.07414E-8	
-48.9975	6.18058E-7	-48.9975	-8.4572E-8	
-47.9996	5.89586E-7	-47.9996	-7.93067E-8	
-46.9991	5.63093E-7	-46.9991	-7.4282E-8	
-45.999	5.3547E-7	-45.999	-6.95501E-8	
-44.9988	5.09709E-7	-44.9988	-6.49624E-8	
-43.998	4.83655E-7	-43.998	-6.06029E-8	
-42.9971	4.55399E-7	-42.9971	-5.65162E-8	
-42.0005	4.34518E-7	-42.0005	-5.25298E-8	
-40.9987	4.10506E-7	-40.9987	-4.89198E-8	
-39.9983	3.86756E-7	-39.9983	-4.53849E-8	
-38.9975	3.63667E-7	-38.9975	-4.20343E-8	
-37.9978	3.41331E-7	-37.9978	-3.88597E-8	
-36.9968	3.19927E-7	-36.9968	-3.58433E-8	
-36.0002	2.98692E-7	-36.0002	-3.30387E-8	
-34.9995	2.77456E-7	-34.9995	-3.03896E-8	
-33.9987	2.57961E-7	-33.9987	-2.78744E-8	
-32.9976	2.37705E-7	-32.9976	-2.55374E-8	
-31.9972	2.19259E-7	-31.9972	-2.33725E-8	
-30.9907	2.00924E-7	-30.9907	-2.1208E-8	
-29.9893	1.83192E-7	-29.9893	-1.92679E-8	
-28.987	1.66921E-7	-28.987	-1.76514E-8	
-27.9985	1.51678E-7	-27.9985	-1.61447E-8	
-26.9978	1.35786E-7	-26.9978	-1.45848E-8	
-25.9977	1.21409E-7	-25.9977	-1.32646E-8	
-24.9972	1.0776E-7	-24.9972	-1.1961E-8	
-23.9996	9.09768E-8	-23.9996	-1.21582E-8	
-22.9997	8.05072E-8	-22.9997	-1.02986E-8	
-21.9991	6.94128E-8	-21.9991	-9.19266E-9	
-20.9982	5.86751E-8	-20.9982	-8.10405E-9	
-19.9995	4.96142E-8	-19.9995	-7.24033E-9	
-18.9996	4.12097E-8	-18.9996	-6.50032E-9	
-17.9995	3.38461E-8	-17.9995	-5.80217E-9	
-16.9997	2.72107E-8	-16.9997	-5.16981E-9	
-15.9996	2.17061E-8	-15.9996	-4.5856E-9	
-14.9997	1.69421E-8	-14.9997	-4.09298E-9	
-13.9996	1.30636E-8	-13.9996	-3.56621E-9	
-12.9998	9.74076E-9	-12.9998	-3.12289E-9	
-11.9996	7.61513E-9	-11.9996	-2.57202E-9	
-10.9998	5.32644E-9	-10.9998	-2.13631E-9	
-9.99962	3.72128E-9	-9.99962	-1.51376E-9	
-8.99939	2.54495E-9	-8.99939	-9.73976E-10	
-7.99969	2.14815E-9	-7.99969	-6.00946E-10	
-6.99949	2.00225E-9	-6.99949	-4.20463E-10	
-5.99967	1.89694E-9	-5.99967	-2.85757E-10	
-4.9995	2.17106E-9	-4.9995	-7.94411E-11	
-3.99967	2.91997E-9	-3.99967	6.16312E-12	
-2.9995	4.79293E-9	-2.9995	2.52461E-10	
-1.99999	7.17252E-9	-1.99999	5.44953E-10	
-0.999964	1.12368E-8	-0.999964	9.40895E-10	
7.7939E-5	1.75543E-8	7.7939E-5	1.38469E-9	
8.00371E-5	1.72904E-8	8.00371E-5	9.89175E-10	
1.00007	2.76752E-8	1.00007	1.83773E-9	
2.00005	4.39939E-8	2.00005	2.70045E-9	
3.0002	7.01522E-8	3.0002	4.00577E-9	
4.00032	1.11434E-7	4.00032	6.87779E-9	
5.00019	1.62998E-7	5.00019	8.14738E-9	
6.00027	2.30905E-7	6.00027	1.11101E-8	
7.00049	3.11435E-7	7.00049	1.46879E-8	
8.00031	4.02736E-7	8.00031	1.81615E-8	
9.0004	5.0241E-7	9.0004	2.07902E-8	
10.0002	6.02169E-7	10.0002	2.42458E-8	
11.0003	7.01003E-7	11.0003	2.88664E-8	
12.0006	7.96126E-7	12.0006	3.40715E-8	
13.0004	8.86219E-7	13.0004	3.97617E-8	
14.0005	9.68016E-7	14.0005	4.62479E-8	
15.0004	1.04129E-6	15.0004	5.3018E-8	
16.0004	1.11208E-6	16.0004	6.02247E-8	
17.0006	1.17598E-6	17.0006	6.80591E-8	
18.0004	1.23523E-6	18.0004	7.56617E-8	
19.0005	1.29279E-6	19.0005	8.41415E-8	
20.0003	1.3492E-6	20.0003	9.30254E-8	
21.0038	1.40722E-6	21.0038	1.02803E-7	
22.0046	1.4637E-6	22.0046	1.13709E-7	
23.0055	1.52506E-6	23.0055	1.24487E-7	
24.0028	1.58937E-6	24.0028	1.35853E-7	
25.0029	1.6576E-6	25.0029	1.47834E-7	
26.0033	1.73115E-6	26.0033	1.61093E-7	
27.0039	1.80867E-6	27.0039	1.74946E-7	
28.0043	1.89374E-6	28.0043	1.89722E-7	
29.0052	1.98225E-6	29.0052	2.0618E-7	
30.0024	2.07548E-6	30.0024	2.21803E-7	
31.0029	2.17266E-6	31.0029	2.38993E-7	
32.0038	2.27437E-6	32.0038	2.57535E-7	
33.0038	2.37998E-6	33.0038	2.78399E-7	
34.0043	2.48776E-6	34.0043	2.9813E-7	
35.0049	2.59836E-6	35.0049	3.19974E-7	
36.0013	2.70973E-6	36.0013	3.42048E-7	
37.0024	2.82432E-6	37.0024	3.66934E-7	
38.0028	2.93947E-6	38.0028	3.92952E-7	
39.0042	3.05523E-6	39.0042	4.21523E-7	
40.0044	3.17337E-6	40.0044	4.47E-7	
41.0038	3.29147E-6	41.0038	4.74715E-7	
42.0016	3.40394E-6	42.0016	5.15453E-7	
43.0013	3.52367E-6	43.0013	5.40526E-7	
44.0025	3.63951E-6	44.0025	5.73883E-7	
45.0029	3.75422E-6	45.0029	6.09136E-7	
46.0036	3.86353E-6	46.0036	6.50929E-7	
47.0036	3.97622E-6	47.0036	6.89178E-7	
48.0015	4.09019E-6	48.0015	7.22595E-7	
49.0016	4.1965E-6	49.0016	7.70822E-7	
50.0023	4.30419E-6	50.0023	8.11379E-7	
50.0022	4.30115E-6	50.0022	8.06237E-7	
49.0018	4.18228E-6	49.0018	7.61123E-7	
48.0006	4.06589E-6	48.0006	7.17084E-7	
47.0034	3.94475E-6	47.0034	6.80764E-7	
46.0036	3.83025E-6	46.0036	6.40057E-7	
45.0026	3.71395E-6	45.0026	5.98824E-7	
44.0021	3.59027E-6	44.0021	5.69628E-7	
43.0022	3.47258E-6	43.0022	5.35069E-7	
42.0011	3.35384E-6	42.0011	5.01043E-7	
41.0039	3.23395E-6	41.0039	4.69795E-7	
40.0027	3.11557E-6	40.0027	4.34712E-7	
39.0032	2.99391E-6	39.0032	4.09006E-7	
38.0024	2.87964E-6	38.0024	3.80329E-7	
37.0018	2.75782E-6	37.0018	3.53566E-7	
36.0018	2.64122E-6	36.0018	3.30204E-7	
35.0041	2.52723E-6	35.0041	3.06085E-7	
34.0034	2.41586E-6	34.0034	2.82544E-7	
33.003	2.3068E-6	33.003	2.61444E-7	
32.0028	2.20038E-6	32.0028	2.4253E-7	
31.0026	2.09831E-6	31.0026	2.23606E-7	
30.0019	2.00051E-6	30.0019	2.06253E-7	
29.0043	1.90937E-6	29.0043	1.89252E-7	
28.0037	1.81967E-6	28.0037	1.73539E-7	
27.0035	1.73695E-6	27.0035	1.58996E-7	
26.0033	1.65917E-6	26.0033	1.44933E-7	
25.0029	1.58169E-6	25.0029	1.31985E-7	
24.0029	1.51901E-6	24.0029	1.19509E-7	
23.0051	1.45614E-6	23.0051	1.07665E-7	
22.0047	1.39488E-6	22.0047	1.02249E-7	
21.0033	1.33565E-6	21.0033	8.9794E-8	
20.0002	1.2747E-6	20.0002	7.68137E-8	
19.0004	1.2159E-6	19.0004	6.74784E-8	
18.0003	1.15438E-6	18.0003	5.88033E-8	
17.0005	1.08846E-6	17.0005	5.05964E-8	
16.0004	1.01807E-6	16.0004	4.30565E-8	
15.0003	9.4231E-7	15.0003	3.58985E-8	
14.0004	8.55799E-7	14.0004	2.96985E-8	
13.0003	7.64958E-7	13.0003	2.38139E-8	
12.0006	6.67767E-7	12.0006	1.87093E-8	
11.0003	5.68426E-7	11.0003	1.42893E-8	
10.0002	4.68772E-7	10.0002	1.02044E-8	
9.0004	3.7453E-7	9.0004	7.13588E-9	
8.00026	2.88219E-7	8.00026	4.0923E-9	
7.0004	2.1349E-7	7.0004	1.28936E-9	
6.00027	1.51361E-7	6.00027	3.00097E-10	
5.00019	1.02984E-7	5.00019	-1.63031E-10	
4.0003	6.93023E-8	4.0003	-1.17599E-9	
3.00021	4.48657E-8	3.00021	-1.46766E-9	
2.00005	2.95176E-8	2.00005	-1.64064E-9	
1.00006	1.96315E-8	1.00006	-1.82449E-9	
8.57115E-5	1.29608E-8	8.57115E-5	-2.02003E-9	
8.04186E-5	1.33751E-8	8.04186E-5	-1.66718E-9
