V\-(GS) - Plot 0	I\-(DS) - Plot 0	V\-(GS) - Plot 1	I\-(DS) - Plot 1	
4.00044	1.15641E-7	4.00044	5.30355E-9	
5.00031	1.68175E-7	5.00031	6.39737E-9	
6.00034	2.36111E-7	6.00034	9.18684E-9	
7.00049	3.19835E-7	7.00049	1.23904E-8	
8.00041	4.12115E-7	8.00041	1.5148E-8	
9.00049	5.1126E-7	9.00049	1.71449E-8	
10.0003	6.11647E-7	10.0003	2.01016E-8	
11.0004	7.10859E-7	11.0004	2.44645E-8	
12.0006	8.05537E-7	12.0006	2.91469E-8	
13.0004	8.93281E-7	13.0004	3.4181E-8	
14.0005	9.75731E-7	14.0005	4.03635E-8	
15.0004	1.05037E-6	15.0004	4.65794E-8	
16.0005	1.1197E-6	16.0005	5.33976E-8	
17.0006	1.18362E-6	17.0006	6.02837E-8	
18.0005	1.24374E-6	18.0005	6.76782E-8	
19.0007	1.30116E-6	19.0007	7.59356E-8	
20.0005	1.35785E-6	20.0005	8.46929E-8	
21.004	1.41482E-6	21.004	9.48406E-8	
22.0052	1.47376E-6	22.0052	1.02826E-7	
23.006	1.53395E-6	23.006	1.14017E-7	
24.0032	1.59848E-6	24.0032	1.24858E-7	
25.0036	1.66882E-6	25.0036	1.36782E-7	
26.0039	1.74262E-6	26.0039	1.49169E-7	
27.0041	1.82188E-6	27.0041	1.62683E-7	
28.0045	1.90604E-6	28.0045	1.77182E-7	
29.0054	1.99916E-6	29.0054	1.91761E-7	
30.0024	2.0884E-6	30.0024	2.0813E-7	
31.0028	2.18569E-6	31.0028	2.24456E-7	
32.0035	2.28696E-6	32.0035	2.42819E-7	
33.0032	2.39306E-6	33.0032	2.61396E-7	
34.0038	2.50354E-6	34.0038	2.77684E-7	
35.0049	2.61489E-6	35.0049	2.98385E-7	
36.0021	2.72762E-6	36.0021	3.20552E-7	
37.0024	2.84239E-6	37.0024	3.43572E-7	
38.003	2.95883E-6	38.003	3.69519E-7	
39.0034	3.07549E-6	39.0034	3.95571E-7	
40.0036	3.19022E-6	40.0036	4.26063E-7	
41.0041	3.30548E-6	41.0041	4.57348E-7	
42.0021	3.4212E-6	42.0021	4.88415E-7	
43.0027	3.53705E-6	43.0027	5.22649E-7	
44.0025	3.64872E-6	44.0025	5.57749E-7	
45.0032	3.76457E-6	45.0032	5.93081E-7	
46.0032	3.87928E-6	46.0032	6.21588E-7	
47.0035	3.99168E-6	47.0035	6.5978E-7	
48.0008	4.10273E-6	48.0008	6.95932E-7	
49.0017	4.21411E-6	49.0017	7.35426E-7	
50.0026	4.32154E-6	50.0026	7.7862E-7	
50.0022	4.30946E-6	50.0022	7.85004E-7	
49.0014	4.19206E-6	49.0014	7.45352E-7	
48.0009	4.07318E-6	48.0009	7.03149E-7	
47.0034	3.95634E-6	47.0034	6.60673E-7	
46.0028	3.83811E-6	46.0028	6.24005E-7	
45.0029	3.71951E-6	45.0029	5.88862E-7	
44.0021	3.6014E-6	44.0021	5.51585E-7	
43.0012	3.48351E-6	43.0012	5.15239E-7	
42.0012	3.36047E-6	42.0012	4.82749E-7	
41.0033	3.24482E-6	41.0033	4.51406E-7	
40.0033	3.12472E-6	40.0033	4.21486E-7	
39.0029	3.00296E-6	39.0029	3.94176E-7	
38.0025	2.88871E-6	38.0025	3.63602E-7	
37.0021	2.76874E-6	37.0021	3.38393E-7	
36.0015	2.65234E-6	36.0015	3.13602E-7	
35.0047	2.5373E-6	35.0047	2.90135E-7	
34.0038	2.42426E-6	34.0038	2.68505E-7	
33.0034	2.31614E-6	33.0034	2.46594E-7	
32.0033	2.2094E-6	32.0033	2.27373E-7	
31.0028	2.10852E-6	31.0028	2.09222E-7	
30.0017	2.01015E-6	30.0017	1.91912E-7	
29.0049	1.91683E-6	29.0049	1.75835E-7	
28.004	1.82926E-6	28.004	1.59989E-7	
27.0037	1.74468E-6	27.0037	1.4535E-7	
26.0036	1.66641E-6	26.0036	1.31942E-7	
25.0031	1.59293E-6	25.0031	1.19026E-7	
24.003	1.52555E-6	24.003	1.07305E-7	
23.0051	1.46303E-6	23.0051	9.91845E-8	
22.0047	1.39826E-6	22.0047	8.57871E-8	
21.0039	1.33976E-6	21.0039	7.55097E-8	
20.0002	1.28051E-6	20.0002	6.61237E-8	
19.0004	1.22264E-6	19.0004	5.74207E-8	
18.0003	1.16056E-6	18.0003	4.91204E-8	
17.0005	1.09519E-6	17.0005	4.17967E-8	
16.0004	1.02366E-6	16.0004	3.47643E-8	
15.0004	9.48429E-7	15.0004	2.83793E-8	
14.0005	8.62153E-7	14.0005	2.25448E-8	
13.0004	7.70011E-7	13.0004	1.74568E-8	
12.0006	6.74223E-7	12.0006	1.29296E-8	
11.0004	5.74212E-7	11.0004	8.95529E-9	
10.0002	4.76947E-7	10.0002	5.63583E-9	
9.00038	3.81265E-7	9.00038	1.92554E-9	
8.00026	2.93595E-7	8.00026	4.44305E-10	
7.00045	2.17826E-7	7.00045	-1.52481E-10	
6.00025	1.54204E-7	6.00025	-8.04484E-10	
5.00018	1.06801E-7	5.00018	-9.06408E-10	
4.00036	7.08582E-8	4.00036	-1.27561E-9	
3.00023	4.61755E-8	3.00023	-1.37289E-9	
2.00005	3.01814E-8	2.00005	-1.22824E-9	
1.00006	1.96351E-8	1.00006	-1.19958E-9	
7.46965E-5	1.28867E-8	7.46965E-5	-1.04672E-9	
7.12156E-5	1.32096E-8	7.12156E-5	-7.26747E-10	
-0.999954	8.36713E-9	-0.999954	-8.97658E-10	
-1.99998	5.68383E-9	-1.99998	-8.78477E-10	
-2.99946	3.98924E-9	-2.99946	-8.2202E-10	
-3.99961	2.73234E-9	-3.99961	-8.41606E-10	
-4.99943	2.21791E-9	-4.99943	-8.10242E-10	
-5.99957	1.94526E-9	-5.99957	-8.57937E-10	
-6.99946	1.9461E-9	-6.99946	-9.41467E-10	
-7.99973	2.53004E-9	-7.99973	-9.65893E-10	
-8.99946	3.32699E-9	-8.99946	-1.09802E-9	
-9.99969	4.64003E-9	-9.99969	-1.24077E-9	
-10.9998	6.55187E-9	-10.9998	-1.41571E-9	
-11.9997	8.94659E-9	-11.9997	-1.6922E-9	
-12.9999	1.20401E-8	-12.9999	-2.11008E-9	
-13.9998	1.59035E-8	-13.9998	-2.40552E-9	
-14.9999	2.11575E-8	-14.9999	-2.85937E-9	
-15.9997	2.6828E-8	-15.9997	-3.32961E-9	
-16.9998	3.22985E-8	-16.9998	-3.45635E-9	
-17.9997	3.99868E-8	-17.9997	-3.86961E-9	
-18.9997	4.76809E-8	-18.9997	-4.02532E-9	
-19.9996	5.79227E-8	-19.9996	-3.96817E-9	
-20.9985	6.62876E-8	-20.9985	-4.32138E-9	
-21.9996	7.75583E-8	-21.9996	-4.56898E-9	
-23.0001	8.87126E-8	-23.0001	-4.95682E-9	
-24.0008	1.05799E-7	-24.0008	-2.37268E-9	
-24.9976	1.1566E-7	-24.9976	-6.13557E-9	
-25.9981	1.2868E-7	-25.9981	-7.40283E-9	
-26.9987	1.44667E-7	-26.9987	-8.41053E-9	
-27.9985	1.58786E-7	-27.9985	-9.48091E-9	
-29.0003	1.76369E-7	-29.0003	-1.06624E-8	
-30.0002	1.93818E-7	-30.0002	-1.18899E-8	
-30.9977	2.11171E-7	-30.9977	-1.33693E-8	
-31.998	2.29681E-7	-31.998	-1.4899E-8	
-32.9984	2.48485E-7	-32.9984	-1.65801E-8	
-33.9991	2.67904E-7	-33.9991	-1.84082E-8	
-34.9999	2.87581E-7	-34.9999	-2.04019E-8	
-36.0005	3.07407E-7	-36.0005	-2.25541E-8	
-36.9973	3.28084E-7	-36.9973	-2.48421E-8	
-37.9969	3.49712E-7	-37.9969	-2.73907E-8	
-38.9979	3.71889E-7	-38.9979	-3.00569E-8	
-39.9983	3.94314E-7	-39.9983	-3.28935E-8	
-40.9988	4.173E-7	-40.9988	-3.6009E-8	
-41.9999	4.40838E-7	-41.9999	-3.92647E-8	
-42.9971	4.65083E-7	-42.9971	-4.27253E-8	
-43.9981	4.88855E-7	-43.9981	-4.65231E-8	
-44.9987	5.13275E-7	-44.9987	-5.03842E-8	
-45.9991	5.39693E-7	-45.9991	-5.44766E-8	
-46.9993	5.65659E-7	-46.9993	-5.88042E-8	
-47.9997	5.90668E-7	-47.9997	-6.33423E-8	
-48.9975	6.15695E-7	-48.9975	-6.81754E-8	
-49.9977	6.42729E-7	-49.9977	-7.30939E-8	
-49.9973	6.42465E-7	-49.9973	-7.26221E-8	
-48.998	6.14919E-7	-48.998	-6.69625E-8	
-48.0001	5.87654E-7	-48.0001	-6.19292E-8	
-46.9994	5.59996E-7	-46.9994	-5.72003E-8	
-45.9986	5.32517E-7	-45.9986	-5.26815E-8	
-44.9986	5.06943E-7	-44.9986	-4.84427E-8	
-43.9982	4.77546E-7	-43.9982	-4.44088E-8	
-42.9972	4.57355E-7	-42.9972	-4.06026E-8	
-42.0001	4.3065E-7	-42.0001	-3.72411E-8	
-40.9991	4.065E-7	-40.9991	-3.37679E-8	
-39.9989	3.83438E-7	-39.9989	-3.06104E-8	
-38.9984	3.60236E-7	-38.9984	-2.76031E-8	
-37.9983	3.38799E-7	-37.9983	-2.47234E-8	
-36.9976	3.16104E-7	-36.9976	-2.22967E-8	
-36.0007	2.96148E-7	-36.0007	-1.97137E-8	
-34.999	2.74339E-7	-34.999	-1.76457E-8	
-33.9985	2.55407E-7	-33.9985	-1.55476E-8	
-32.9982	2.36566E-7	-32.9982	-1.35689E-8	
-31.9975	2.17932E-7	-31.9975	-1.18738E-8	
-30.9911	1.99368E-7	-30.9911	-1.01933E-8	
-29.9887	1.82291E-7	-29.9887	-8.37781E-9	
-28.9866	1.6472E-7	-28.9866	-7.1316E-9	
-27.9984	1.49971E-7	-27.9984	-5.9556E-9	
-26.9978	1.33237E-7	-26.9978	-4.38915E-9	
-25.9975	1.18339E-7	-25.9975	-3.34008E-9	
-24.9978	1.05269E-7	-24.9978	-1.66999E-9	
-24	9.01407E-8	-24	-3.27612E-9	
-23	7.84667E-8	-23	-9.27913E-10	
-21.9991	6.57987E-8	-21.9991	-6.05845E-10	
-20.998	5.65475E-8	-20.998	-3.9947E-10	
-19.9994	4.75923E-8	-19.9994	-1.71828E-10	
-18.9996	3.92457E-8	-18.9996	-1.25515E-10	
-17.9995	3.20648E-8	-17.9995	4.20809E-12	
-16.9996	2.55762E-8	-16.9996	1.16909E-10	
-15.9995	1.96582E-8	-15.9995	2.12955E-10	
-14.9997	1.5739E-8	-14.9997	3.05748E-10	
-13.9995	1.17401E-8	-13.9995	3.34847E-10	
-12.9997	8.79045E-9	-12.9997	3.26622E-10	
-11.9996	6.28166E-9	-11.9996	2.74074E-10	
-10.9997	4.74508E-9	-10.9997	2.82323E-10	
-9.99956	3.59347E-9	-9.99956	2.56348E-10	
-8.99936	2.732E-9	-8.99936	2.01428E-10	
-7.99961	2.25943E-9	-7.99961	1.5558E-10	
-6.99943	2.10131E-9	-6.99943	1.72412E-10	
-5.99953	2.1516E-9	-5.99953	1.67203E-10	
-4.99951	2.18431E-9	-4.99951	2.01452E-10	
-3.99969	3.65918E-9	-3.99969	1.5794E-10	
-2.99953	4.89999E-9	-2.99953	3.12221E-10	
-2	7.70673E-9	-2	3.99482E-10	
-0.999978	1.14603E-8	-0.999978	5.76675E-10	
7.80582E-5	1.80461E-8	7.80582E-5	8.30185E-10	
7.92503E-5	1.77029E-8	7.92503E-5	3.47543E-10	
1.00008	2.80241E-8	1.00008	1.07365E-9	
2.00007	4.50331E-8	2.00007	1.87411E-9	
3.00034	7.12134E-8	3.00034	3.17069E-9	
4.00038	1.13383E-7	4.00038	5.02704E-9	
5.00026	1.65036E-7	5.00026	6.42856E-9	
6.00029	2.32823E-7	6.00029	9.233E-9	
7.00046	3.14964E-7	7.00046	1.23894E-8	
8.00031	4.06443E-7	8.00031	1.52961E-8	
9.00043	5.04832E-7	9.00043	1.7489E-8	
10.0002	6.05777E-7	10.0002	2.0582E-8	
11.0003	7.04743E-7	11.0003	2.48675E-8	
12.0006	7.99728E-7	12.0006	2.97677E-8	
13.0004	8.8824E-7	13.0004	3.50452E-8	
14.0005	9.70828E-7	14.0005	4.08472E-8	
15.0004	1.04465E-6	15.0004	4.7145E-8	
16.0005	1.11567E-6	16.0005	5.40268E-8	
17.0007	1.17936E-6	17.0007	6.10787E-8	
18.0005	1.23843E-6	18.0005	6.86848E-8	
19.0006	1.29505E-6	19.0006	7.67486E-8	
20.0004	1.3527E-6	20.0004	8.5276E-8	
21.004	1.41014E-6	21.004	9.44679E-8	
22.005	1.46863E-6	22.005	1.02921E-7	
23.0058	1.52901E-6	23.0058	1.13999E-7	
24.003	1.59312E-6	24.003	1.2499E-7	
25.0031	1.66061E-6	25.0031	1.37891E-7	
26.0038	1.73529E-6	26.0038	1.49565E-7	
27.0039	1.81445E-6	27.0039	1.62975E-7	
28.0046	1.89802E-6	28.0046	1.76585E-7	
29.0053	1.98649E-6	29.0053	1.91721E-7	
30.0026	2.07904E-6	30.0026	2.07657E-7	
31.0032	2.17694E-6	31.0032	2.23963E-7	
32.0035	2.2771E-6	32.0035	2.42482E-7	
33.0035	2.3821E-6	33.0035	2.61866E-7	
34.0041	2.4881E-6	34.0041	2.83934E-7	
35.0048	2.5977E-6	35.0048	3.07002E-7	
36.0019	2.70953E-6	36.0019	3.30316E-7	
37.003	2.82354E-6	37.003	3.5463E-7	
38.0032	2.93812E-6	38.0032	3.83156E-7	
39.0041	3.05194E-6	39.0041	4.10915E-7	
40.0036	3.16975E-6	40.0036	4.38591E-7	
41.004	3.2887E-6	41.004	4.68512E-7	
42.002	3.40378E-6	42.002	4.98931E-7	
43.0022	3.51764E-6	43.0022	5.32942E-7	
44.0028	3.632E-6	44.0028	5.66936E-7	
45.0032	3.74698E-6	45.0032	6.01545E-7	
46.004	3.86023E-6	46.004	6.37291E-7	
47.0041	3.97167E-6	47.0041	6.75525E-7	
48.0019	4.08405E-6	48.0019	7.11183E-7	
49.0025	4.19423E-6	49.0025	7.50122E-7	
50.0028	4.30913E-6	50.0028	7.80353E-7	
50.0024	4.30194E-6	50.0024	7.80767E-7	
49.0019	4.18224E-6	49.0019	7.41084E-7	
48.0014	4.06911E-6	48.0014	6.89633E-7	
47.0041	3.94899E-6	47.0041	6.53722E-7	
46.0034	3.82971E-6	46.0034	6.21204E-7	
45.0031	3.71193E-6	45.0031	5.82646E-7	
44.0032	3.59612E-6	44.0032	5.41721E-7	
43.0026	3.4791E-6	43.0026	5.06043E-7	
42.0018	3.3597E-6	42.0018	4.70745E-7	
41.0038	3.23883E-6	41.0038	4.41759E-7	
40.0034	3.11724E-6	40.0034	4.15879E-7	
39.0033	2.99742E-6	39.0033	3.88006E-7	
38.0027	2.87917E-6	38.0027	3.60358E-7	
37.0024	2.76216E-6	37.0024	3.34398E-7	
36.0016	2.64494E-6	36.0016	3.09931E-7	
35.0051	2.52984E-6	35.0051	2.87077E-7	
34.0033	2.41651E-6	34.0033	2.6435E-7	
33.0032	2.31073E-6	33.0032	2.43355E-7	
32.0032	2.20459E-6	32.0032	2.24092E-7	
31.0026	2.10291E-6	31.0026	2.05436E-7	
30.002	2.00517E-6	30.002	1.87904E-7	
29.0048	1.91176E-6	29.0048	1.73417E-7	
28.004	1.8233E-6	28.004	1.57915E-7	
27.0036	1.74045E-6	27.0036	1.43368E-7	
26.0034	1.6621E-6	26.0034	1.30625E-7	
25.0031	1.59014E-6	25.0031	1.17844E-7	
24.003	1.52024E-6	24.003	1.05516E-7	
23.0051	1.45929E-6	23.0051	9.75694E-8	
22.0043	1.39601E-6	22.0043	8.45219E-8	
21.0037	1.33717E-6	21.0037	7.44007E-8	
20.0002	1.2778E-6	20.0002	6.52449E-8	
19.0004	1.21903E-6	19.0004	5.67837E-8	
18.0003	1.15753E-6	18.0003	4.84197E-8	
17.0005	1.09125E-6	17.0005	4.09257E-8	
16.0004	1.02003E-6	16.0004	3.38537E-8	
15.0003	9.44987E-7	15.0003	2.74623E-8	
14.0005	8.5791E-7	14.0005	2.20742E-8	
13.0003	7.66402E-7	13.0003	1.6941E-8	
12.0006	6.70665E-7	12.0006	1.26738E-8	
11.0004	5.72904E-7	11.0004	9.74071E-9	
10.0003	4.7298E-7	10.0003	5.93284E-9	
9.00047	3.7919E-7	9.00047	2.79003E-9	
8.00037	2.91607E-7	8.00037	6.63161E-10	
7.00056	2.15378E-7	7.00056	8.10027E-11	
6.00035	1.5362E-7	6.00035	7.27177E-13	
5.00031	1.04571E-7	5.00031	-8.83257E-10	
4.0004	7.01605E-8	4.0004	-9.37104E-10	
